frame_id,atlas_path,x,y,w,h
dice_normal_white,atlases/atlas_dice.png,0,0,354,887
dice_stable_blue,atlases/atlas_dice.png,354,0,354,887
dice_explosive_red,atlases/atlas_dice.png,708,0,354,887
dice_sync_yellow,atlases/atlas_dice.png,1062,0,354,887
dice_mutation_purple,atlases/atlas_dice.png,1416,0,358,887
player_sanada_shigeru,atlases/atlas_players.png,0,0,418,418
player_sakaki_naoki,atlases/atlas_players.png,418,0,418,418
player_isaka_kotaro,atlases/atlas_players.png,836,0,418,418
player_sasaki_ponta,atlases/atlas_players.png,0,418,418,418
player_takimura_yuji,atlases/atlas_players.png,418,418,418,418
player_kuze_minoru,atlases/atlas_players.png,836,418,418,418
player_hada_saburo,atlases/atlas_players.png,0,836,418,418
player_makabe_tetsuo,atlases/atlas_players.png,418,836,418,418
player_noguchi_takumi,atlases/atlas_players.png,836,836,418,418
expr_sanada_shigeru,atlases/sheet_player_expressions.png,0,0,418,418
expr_sakaki_naoki,atlases/sheet_player_expressions.png,418,0,418,418
expr_isaka_kotaro,atlases/sheet_player_expressions.png,836,0,418,418
expr_sasaki_ponta,atlases/sheet_player_expressions.png,0,418,418,418
expr_takimura_yuji,atlases/sheet_player_expressions.png,418,418,418,418
expr_kuze_minoru,atlases/sheet_player_expressions.png,836,418,418,418
expr_hada_saburo,atlases/sheet_player_expressions.png,0,836,418,418
expr_makabe_tetsuo,atlases/sheet_player_expressions.png,418,836,418,418
expr_noguchi_takumi,atlases/sheet_player_expressions.png,836,836,418,418
enemy_body_shirogane,atlases/atlas_enemy_teams.png,0,0,384,512
enemy_body_kanayama,atlases/atlas_enemy_teams.png,384,0,384,512
enemy_body_yamanobe,atlases/atlas_enemy_teams.png,768,0,384,512
enemy_body_imperial,atlases/atlas_enemy_teams.png,1152,0,384,512
enemy_ace_shirogane,atlases/atlas_enemy_teams.png,0,512,384,512
enemy_ace_kanayama,atlases/atlas_enemy_teams.png,384,512,384,512
enemy_ace_yamanobe,atlases/atlas_enemy_teams.png,768,512,384,512
enemy_ace_imperial,atlases/atlas_enemy_teams.png,1152,512,384,512
logo_hinomoto_explosions,atlases/atlas_team_logos.png,0,0,313,627
logo_shirogane_bravers,atlases/atlas_team_logos.png,313,0,313,627
logo_kanayama_twin_drives,atlases/atlas_team_logos.png,626,0,313,627
logo_yamanobe_long_runners,atlases/atlas_team_logos.png,939,0,315,627
