frame_id,atlas_path,x,y,w,h,source_x,source_y,source_w,source_h,trimmed
dice_normal_white,atlases/atlas_dice.png,39,281,301,356,0,0,354,887,True
dice_stable_blue,atlases/atlas_dice.png,387,284,299,353,354,0,354,887,True
dice_explosive_red,atlases/atlas_dice.png,734,284,299,354,708,0,354,887,True
dice_sync_yellow,atlases/atlas_dice.png,1080,283,299,355,1062,0,354,887,True
dice_mutation_purple,atlases/atlas_dice.png,1425,283,301,355,1416,0,358,887,True
player_sanada_shigeru,atlases/atlas_players.png,57,17,327,401,0,0,418,418,True
player_sakaki_naoki,atlases/atlas_players.png,504,14,223,404,418,0,418,418,True
player_isaka_kotaro,atlases/atlas_players.png,847,25,299,393,836,0,418,418,True
player_sasaki_ponta,atlases/atlas_players.png,45,418,326,417,0,418,418,418,True
player_takimura_yuji,atlases/atlas_players.png,454,418,288,416,418,418,418,418,True
player_kuze_minoru,atlases/atlas_players.png,839,418,345,416,836,418,418,418,True
player_hada_saburo,atlases/atlas_players.png,67,836,295,418,0,836,418,418,True
player_makabe_tetsuo,atlases/atlas_players.png,444,840,341,414,418,836,418,418,True
player_noguchi_takumi,atlases/atlas_players.png,857,845,280,409,836,836,418,418,True
expr_sanada_shigeru,atlases/sheet_player_expressions.png,28,12,390,403,0,0,418,418,True
expr_sakaki_naoki,atlases/sheet_player_expressions.png,418,15,418,400,418,0,418,418,True
expr_isaka_kotaro,atlases/sheet_player_expressions.png,836,15,365,400,836,0,418,418,True
expr_sasaki_ponta,atlases/sheet_player_expressions.png,26,426,392,410,0,418,418,418,True
expr_takimura_yuji,atlases/sheet_player_expressions.png,418,418,418,418,418,418,418,418,True
expr_kuze_minoru,atlases/sheet_player_expressions.png,836,420,385,416,836,418,418,418,True
expr_hada_saburo,atlases/sheet_player_expressions.png,35,836,377,393,0,836,418,418,True
expr_makabe_tetsuo,atlases/sheet_player_expressions.png,419,836,417,393,418,836,418,418,True
expr_noguchi_takumi,atlases/sheet_player_expressions.png,836,836,385,393,836,836,418,418,True
enemy_body_shirogane,atlases/atlas_enemy_teams.png,57,27,327,485,0,0,384,512,True
enemy_body_kanayama,atlases/atlas_enemy_teams.png,384,23,340,489,384,0,384,512,True
enemy_body_yamanobe,atlases/atlas_enemy_teams.png,802,26,350,486,768,0,384,512,True
enemy_body_imperial,atlases/atlas_enemy_teams.png,1152,25,360,487,1152,0,384,512,True
enemy_ace_shirogane,atlases/atlas_enemy_teams.png,24,512,360,479,0,512,384,512,True
enemy_ace_kanayama,atlases/atlas_enemy_teams.png,384,512,384,479,384,512,384,512,True
enemy_ace_yamanobe,atlases/atlas_enemy_teams.png,768,512,384,479,768,512,384,512,True
enemy_ace_imperial,atlases/atlas_enemy_teams.png,1152,512,374,479,1152,512,384,512,True
logo_hinomoto_explosions,atlases/atlas_team_logos.png,17,211,290,388,0,0,313,627,True
logo_shirogane_bravers,atlases/atlas_team_logos.png,320,223,288,367,313,0,313,627,True
logo_kanayama_twin_drives,atlases/atlas_team_logos.png,632,274,307,289,626,0,313,627,True
logo_yamanobe_long_runners,atlases/atlas_team_logos.png,939,248,301,358,939,0,315,627,True
logo_imperial_crowns,atlases/atlas_team_logos.png,18,651,279,374,0,627,313,627,True
logo_league_ai_coin,atlases/atlas_team_logos.png,318,702,308,318,313,627,313,627,True
logo_citizens_medical_support,atlases/atlas_team_logos.png,626,704,313,312,626,627,313,627,True
logo_underground_finance,atlases/atlas_team_logos.png,939,704,290,316,939,627,315,627,True
sponsor_common_medical,atlases/atlas_sponsor_logos_full.png,62,64,288,297,0,0,350,374,True
sponsor_black_orange_heavy,atlases/atlas_sponsor_logos_full.png,350,65,335,285,350,0,350,374,True
sponsor_bio_research,atlases/atlas_sponsor_logos_full.png,729,67,275,282,700,0,350,374,True
sponsor_gambling_union,atlases/atlas_sponsor_logos_full.png,1071,55,260,306,1050,0,352,374,True
sponsor_citizens_support,atlases/atlas_sponsor_logos_full.png,61,398,288,350,0,374,350,374,True
sponsor_ninth_finance,atlases/atlas_sponsor_logos_full.png,397,391,280,357,350,374,350,374,True
sponsor_eastern_nerve,atlases/atlas_sponsor_logos_full.png,720,402,294,346,700,374,350,374,True
sponsor_former_players_aid,atlases/atlas_sponsor_logos_full.png,1063,398,274,350,1050,374,352,374,True
sponsor_imperial_medical,atlases/atlas_sponsor_logos_full.png,53,748,297,291,0,748,350,374,True
sponsor_crown_betting,atlases/atlas_sponsor_logos_full.png,398,748,268,284,350,748,350,374,True
sponsor_modified_league_lab,atlases/atlas_sponsor_logos_full.png,726,748,274,295,700,748,350,374,True
sponsor_forbidden_archive,atlases/atlas_sponsor_logos_full.png,1050,748,299,297,1050,748,352,374,True
surgery_live_wire_suture,atlases/atlas_surgery_methods.png,42,21,274,379,0,0,327,400,True
surgery_nerve_knot_thunder,atlases/atlas_surgery_methods.png,356,21,274,379,327,0,327,400,True
surgery_bone_rearrange_99,atlases/atlas_surgery_methods.png,670,21,274,379,654,0,327,400,True
surgery_basic_treatment,atlases/atlas_surgery_methods.png,986,21,272,379,981,0,329,400,True
surgery_body_part_mod,atlases/atlas_surgery_methods.png,39,400,277,400,0,400,327,400,True
surgery_mental_aptitude,atlases/atlas_surgery_methods.png,351,400,279,400,327,400,327,400,True
surgery_mechanical_mod,atlases/atlas_surgery_methods.png,666,400,278,400,654,400,327,400,True
surgery_biological_mutation,atlases/atlas_surgery_methods.png,985,400,275,400,981,400,329,400,True
surgery_hybrid_mod,atlases/atlas_surgery_methods.png,26,800,301,382,0,800,327,401,True
surgery_full_body_engine,atlases/atlas_surgery_methods.png,327,800,327,382,327,800,327,401,True
surgery_ninth_inning_ghost,atlases/atlas_surgery_methods.png,654,800,327,381,654,800,327,401,True
surgery_human_redefinition,atlases/atlas_surgery_methods.png,981,800,296,382,981,800,329,401,True
spirit_1,atlases/atlas_status_icons.png,31,46,117,110,0,0,156,156,True
spirit_2,atlases/atlas_status_icons.png,164,46,148,110,156,0,156,156,True
spirit_3,atlases/atlas_status_icons.png,312,46,156,110,312,0,156,156,True
spirit_4,atlases/atlas_status_icons.png,468,46,156,110,468,0,156,156,True
spirit_5,atlases/atlas_status_icons.png,624,46,156,110,624,0,156,156,True
tension_1,atlases/atlas_status_icons.png,780,46,156,110,780,0,156,156,True
tension_2,atlases/atlas_status_icons.png,936,46,147,110,936,0,156,156,True
tension_3,atlases/atlas_status_icons.png,1100,46,119,110,1092,0,162,156,True
tension_4,atlases/atlas_status_icons.png,31,156,118,156,0,156,156,156,True
tension_5,atlases/atlas_status_icons.png,165,156,147,156,156,156,156,156,True
state_explosive,atlases/atlas_status_icons.png,312,156,156,156,312,156,156,156,True
state_hidden_injury,atlases/atlas_status_icons.png,468,156,156,156,468,156,156,156,True
injury_light,atlases/atlas_status_icons.png,624,156,156,156,624,156,156,156,True
injury_heavy,atlases/atlas_status_icons.png,780,156,156,156,780,156,156,156,True
injury_bandage,atlases/atlas_status_icons.png,936,156,147,156,936,156,156,156,True
injury_fracture,atlases/atlas_status_icons.png,1101,156,118,156,1092,156,162,156,True
injury_bruise,atlases/atlas_status_icons.png,31,312,117,156,0,312,156,156,True
pain_tolerance,atlases/atlas_status_icons.png,164,312,148,156,156,312,156,156,True
surgery_required,atlases/atlas_status_icons.png,312,312,156,156,312,312,156,156,True
surgery_complete,atlases/atlas_status_icons.png,468,312,156,156,468,312,156,156,True
body_modified,atlases/atlas_status_icons.png,624,312,156,156,624,312,156,156,True
part_mechanical,atlases/atlas_status_icons.png,780,312,156,156,780,312,156,156,True
mutation_biological,atlases/atlas_status_icons.png,936,312,147,156,936,312,156,156,True
mental_inversion,atlases/atlas_status_icons.png,1101,312,117,156,1092,312,162,156,True
role_complete,atlases/atlas_status_icons.png,31,468,117,156,0,468,156,156,True
nickname,atlases/atlas_status_icons.png,164,468,148,156,156,468,156,156,True
coin,atlases/atlas_status_icons.png,312,468,156,156,312,468,156,156,True
debt,atlases/atlas_status_icons.png,468,468,156,156,468,468,156,156,True
payout,atlases/atlas_status_icons.png,624,468,156,156,624,468,156,156,True
medical_progress,atlases/atlas_status_icons.png,780,468,156,156,780,468,156,156,True
action_point,atlases/atlas_status_icons.png,936,468,147,156,936,468,156,156,True
